"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript JSX", "TypeScript JSX", "Markdown", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\email-success.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\email.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\eye-closed-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\eye-closed.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\eye-open-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\eye-open.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-bread-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-cheese-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-dinner-fork-spoon-knife-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-dish-hand-serve.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\food-dish.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 1, 11
